Cost cache matrix +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M10 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M20 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M30 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M11 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M21 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M31 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M12 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 = 5.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M13 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M23 = 5.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M33 = 6.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M30 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M32 = 8.000000
